                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.2058,                0.75007,                 1.1451,                0.90012,                 0.6738,                0.78767,                0.46091,                 1.4165,                0.81572,                 1.2763,             0.00089112,             0.00089112,             0.00089112
                     89,                 1.1904,                  0.734,                 1.1646,                0.86331,                0.68112,                0.76618,                0.45769,                 1.4111,                0.82559,                 1.2853,               0.000887,               0.000887,               0.000887
                     90,                 1.2141,                0.74354,                 1.1547,                0.83386,                0.71299,                0.78265,                0.46954,                 1.3881,                0.78444,                 1.2764,             0.00088288,             0.00088288,             0.00088288
                     91,                 1.1753,                0.72685,                 1.1435,                0.85767,                0.71338,                0.78442,                0.45585,                 1.4676,                 0.7793,                 1.2862,             0.00087875,             0.00087875,             0.00087875
                     92,                  1.181,                0.72735,                 1.1499,                0.94703,                 0.7145,                0.79227,                0.46732,                  1.428,                0.73993,                 1.3038,             0.00087462,             0.00087462,             0.00087462
                     93,                  1.205,                0.72506,                 1.1491,                0.82818,                0.71629,                0.76243,                0.44865,                 1.4218,                0.77785,                 1.3091,              0.0008705,              0.0008705,              0.0008705
                     94,                 1.2295,                0.76094,                 1.1764,                0.82246,                0.66643,                0.74436,                 0.4429,                 1.4635,                0.84232,                 1.3042,             0.00086637,             0.00086637,             0.00086637
                     95,                 1.2202,                0.73663,                 1.1496,                0.86625,                 0.7059,                0.76773,                0.46054,                 1.4067,                0.79822,                  1.282,             0.00086225,             0.00086225,             0.00086225
                     96,                  1.195,                0.72978,                 1.1318,                0.84047,                0.71083,                0.78159,                0.45764,                  1.408,                0.76659,                 1.2973,             0.00085813,             0.00085813,             0.00085813
                     97,                 1.1506,                 0.7264,                 1.1318,                0.88098,                0.70029,                0.77657,                0.44228,                 1.4676,                0.82024,                 1.2968,               0.000854,               0.000854,               0.000854
                     98,                 1.1874,                0.72534,                 1.1391,                0.87879,                0.69171,                0.78095,                0.47474,                 1.3753,                0.80218,                 1.2679,             0.00084988,             0.00084988,             0.00084988
                     99,                 1.1512,                0.70169,                 1.1275,                0.91962,                0.68406,                 0.7784,                0.46119,                 1.4372,                0.77825,                  1.314,             0.00084575,             0.00084575,             0.00084575
                    100,                 1.1511,                 0.6981,                 1.1151,                0.89194,                 0.6994,                0.78014,                0.46357,                 1.4189,                0.75066,                 1.2674,             0.00084162,             0.00084162,             0.00084162
                    101,                 1.1755,                0.70915,                 1.1266,                0.91334,                0.70116,                0.77477,                0.47315,                 1.4019,                0.75276,                 1.2784,              0.0008375,              0.0008375,              0.0008375
                    102,                 1.1783,                0.69331,                 1.1344,                0.89374,                0.70382,                0.80156,                 0.4705,                 1.4015,                0.76472,                 1.2858,             0.00083337,             0.00083337,             0.00083337
                    103,                 1.1548,                0.71815,                 1.1396,                0.90609,                0.70939,                0.78811,                0.47289,                  1.406,                0.75181,                 1.2556,             0.00082925,             0.00082925,             0.00082925
                    104,                 1.1271,                0.69061,                 1.1057,                0.86645,                0.71517,                0.79778,                0.48544,                 1.4167,                0.76357,                  1.266,             0.00082513,             0.00082513,             0.00082513
                    105,                 1.1594,                0.69418,                  1.114,                0.90416,                0.68432,                0.78218,                0.45144,                 1.4448,                0.81733,                 1.2924,               0.000821,               0.000821,               0.000821
                    106,                 1.1518,                0.70492,                 1.1156,                0.88217,                0.73542,                0.79099,                0.45925,                 1.4123,                0.77461,                 1.2887,             0.00081688,             0.00081688,             0.00081688
                    107,                 1.1315,                0.70263,                 1.1182,                0.86912,                0.73335,                0.78103,                0.46308,                 1.3605,                 0.7949,                 1.2621,             0.00081275,             0.00081275,             0.00081275
                    108,                   1.13,                0.69938,                 1.1235,                0.86747,                0.70165,                0.79821,                0.47468,                 1.4087,                0.76354,                 1.2906,             0.00080863,             0.00080863,             0.00080863
                    109,                 1.0852,                0.67392,                 1.0854,                0.88417,                0.70112,                0.78583,                 0.4737,                 1.3977,                0.77464,                 1.3017,              0.0008045,              0.0008045,              0.0008045
                    110,                 1.1429,                0.68223,                 1.1173,                0.90219,                0.70066,                0.78837,                0.46617,                 1.4296,                0.74867,                 1.3026,             0.00080038,             0.00080038,             0.00080038
                    111,                  1.105,                0.68591,                 1.1144,                0.88611,                0.72496,                0.79677,                0.47334,                 1.4099,                0.76719,                 1.2823,             0.00079625,             0.00079625,             0.00079625
                    112,                 1.1116,                0.67386,                 1.1135,                0.88833,                0.69237,                0.79006,                0.48552,                 1.3777,                0.81197,                   1.28,             0.00079213,             0.00079213,             0.00079213
                    113,                 1.1125,                0.66959,                  1.106,                0.84228,                0.69533,                 0.7626,                0.45615,                 1.3891,                0.77902,                 1.2739,               0.000788,               0.000788,               0.000788
                    114,                 1.1086,                0.67428,                 1.1017,                 0.8821,                 0.7025,                0.77522,                0.46175,                 1.4288,                0.76397,                 1.2967,             0.00078387,             0.00078387,             0.00078387
                    115,                 1.1304,                0.66406,                 1.1104,                0.88909,                0.70291,                0.78979,                0.47641,                 1.3768,                0.73865,                 1.2638,             0.00077975,             0.00077975,             0.00077975
                    116,                 1.1604,                0.69153,                 1.1199,                0.86188,                0.69066,                0.77948,                0.46402,                 1.3831,                0.74341,                 1.2832,             0.00077563,             0.00077563,             0.00077563
                    117,                 1.1095,                0.67063,                 1.0874,                0.84368,                0.72592,                0.78923,                0.48167,                 1.3949,                0.74547,                 1.2878,              0.0007715,              0.0007715,              0.0007715
                    118,                 1.1129,                0.65168,                 1.0902,                0.86391,                0.70907,                0.77498,                0.46026,                 1.4402,                 0.7204,                 1.2896,             0.00076738,             0.00076738,             0.00076738
                    119,                 1.0981,                0.64483,                 1.0817,                0.89441,                0.68465,                 0.7916,                0.47862,                 1.3894,                0.71449,                 1.2678,             0.00076325,             0.00076325,             0.00076325
                    120,                 1.1266,                 0.6757,                  1.103,                0.91951,                0.70271,                0.79131,                0.48423,                 1.3639,                0.73027,                  1.259,             0.00075912,             0.00075912,             0.00075912
                    121,                 1.1022,                0.67013,                 1.1094,                0.84115,                0.72766,                0.79207,                0.49176,                 1.3528,                0.73048,                 1.2587,               0.000755,               0.000755,               0.000755
                    122,                 1.0478,                0.62502,                 1.0713,                0.88061,                0.70317,                0.80132,                0.49105,                 1.3495,                0.72512,                  1.248,             0.00075088,             0.00075088,             0.00075088
                    123,                 1.0507,                0.65611,                 1.0709,                0.88617,                 0.7371,                0.79592,                0.47823,                  1.377,                0.71347,                 1.2778,             0.00074675,             0.00074675,             0.00074675
                    124,                 1.0761,                0.65148,                 1.0927,                0.90761,                0.72605,                0.79016,                0.47735,                 1.3548,                0.75153,                 1.2642,             0.00074263,             0.00074263,             0.00074263
                    125,                 1.1087,                0.66057,                 1.0954,                0.92342,                0.68274,                0.79416,                0.46922,                 1.3752,                0.77329,                  1.285,              0.0007385,              0.0007385,              0.0007385
                    126,                 1.1032,                0.65581,                 1.1058,                0.90681,                0.69556,                0.79285,                0.47635,                 1.3712,                0.78133,                 1.2698,             0.00073437,             0.00073437,             0.00073437
                    127,                 1.0613,                 0.6398,                 1.0769,                0.87741,                0.74229,                0.80965,                0.49337,                 1.3555,                0.70323,                  1.251,             0.00073025,             0.00073025,             0.00073025
                    128,                 1.0605,                0.63406,                  1.072,                0.91164,                 0.7345,                0.81645,                0.48451,                 1.3571,                0.69656,                 1.2448,             0.00072612,             0.00072612,             0.00072612
                    129,                 1.0473,                0.62309,                 1.0655,                0.92795,                0.71261,                0.80625,                0.48531,                 1.3397,                0.70766,                 1.2383,               0.000722,               0.000722,               0.000722
                    130,                 1.0563,                0.63201,                 1.0839,                 0.8841,                0.73318,                0.80157,                0.48432,                 1.3323,                 0.7194,                 1.2639,             0.00071788,             0.00071788,             0.00071788
                    131,                 1.0652,                0.64999,                 1.0809,                0.89441,                0.70984,                0.79584,                0.49489,                 1.3459,                0.74704,                 1.2516,             0.00071375,             0.00071375,             0.00071375
                    132,                 1.0826,                0.63883,                 1.0655,                 0.8689,                0.72909,                0.80472,                0.48561,                 1.3864,                0.72346,                 1.2948,             0.00070962,             0.00070962,             0.00070962
                    133,                 1.0897,                0.64119,                 1.1014,                0.88948,                 0.7156,                  0.797,                 0.4725,                 1.4218,                0.71999,                  1.282,              0.0007055,              0.0007055,              0.0007055
                    134,                 1.0425,                0.60451,                 1.0699,                0.88931,                0.75431,                0.81028,                0.47963,                 1.4304,                0.72311,                 1.3003,             0.00070137,             0.00070137,             0.00070137
                    135,                 1.0608,                0.62691,                 1.0825,                0.85754,                0.72148,                0.79151,                0.47654,                 1.4055,                0.71734,                 1.2867,             0.00069725,             0.00069725,             0.00069725
                    136,                 1.0435,                0.62563,                 1.0622,                0.88689,                 0.7342,                0.81177,                0.48999,                 1.3503,                0.71269,                 1.2632,             0.00069313,             0.00069313,             0.00069313
                    137,                 1.0503,                0.60816,                 1.0716,                0.89574,                0.73429,                0.80658,                0.48433,                 1.3969,                0.70037,                 1.2983,               0.000689,               0.000689,               0.000689
                    138,                  1.025,                0.61606,                 1.0437,                0.90418,                0.69511,                0.79556,                0.48501,                  1.409,                0.70408,                 1.2887,             0.00068488,             0.00068488,             0.00068488
                    139,                 1.0234,                0.59624,                 1.0538,                 0.8897,                0.71301,                 0.7931,                0.48146,                  1.371,                  0.732,                 1.2731,             0.00068075,             0.00068075,             0.00068075
                    140,                 1.0418,                0.61331,                  1.048,                0.88371,                0.69192,                0.79583,                0.48207,                 1.3505,                0.71021,                 1.2502,             0.00067663,             0.00067663,             0.00067663
                    141,                 1.0102,                0.60729,                 1.0572,                0.90063,                0.72581,                0.81048,                0.48718,                 1.3813,                0.72016,                 1.2619,              0.0006725,              0.0006725,              0.0006725
                    142,                 1.0076,                0.60012,                 1.0643,                0.91517,                0.73396,                0.81089,                0.48598,                 1.3788,                0.71024,                 1.2686,             0.00066838,             0.00066838,             0.00066838
                    143,                 1.0222,                0.60887,                  1.067,                0.84364,                0.75975,                0.81946,                0.49418,                 1.3598,                0.70787,                  1.258,             0.00066425,             0.00066425,             0.00066425
                    144,                 1.0077,                0.59704,                 1.0502,                0.91098,                 0.7136,                0.80039,                0.49013,                 1.3638,                0.68775,                 1.2751,             0.00066013,             0.00066013,             0.00066013
                    145,                 1.0328,                0.60379,                 1.0623,                0.88161,                0.72035,                0.80329,                0.47832,                 1.3592,                0.71586,                 1.2571,               0.000656,               0.000656,               0.000656
                    146,                 1.0416,                 0.6353,                 1.0544,                0.89997,                0.74083,                0.82031,                0.49435,                 1.3743,                0.70483,                 1.2715,             0.00065188,             0.00065188,             0.00065188
                    147,                 1.0203,                0.61594,                 1.0457,                0.88343,                0.75929,                0.82316,                0.48897,                 1.3659,                0.68651,                  1.268,             0.00064775,             0.00064775,             0.00064775
                    148,                 1.0278,                0.61356,                 1.0556,                0.89697,                0.74767,                0.81632,                0.48623,                 1.4153,                0.72704,                 1.2708,             0.00064362,             0.00064362,             0.00064362
                    149,                 1.0067,                0.60261,                 1.0398,                0.83125,                0.73122,                 0.7862,                0.47935,                  1.336,                0.74028,                 1.2236,              0.0006395,              0.0006395,              0.0006395
                    150,                 1.0016,                0.60431,                 1.0478,                0.91966,                0.73479,                0.80258,                0.46868,                 1.4173,                0.71845,                 1.2614,             0.00063538,             0.00063538,             0.00063538
                    151,                 1.0081,                0.60119,                 1.0589,                0.89428,                0.72724,                0.80093,                0.48609,                 1.3865,                0.67972,                 1.2637,             0.00063125,             0.00063125,             0.00063125
